index,date,value
gk9,2025-09-09,24.43
j5d,2025-06-16,223.46
hi4,2025-08-10,642.85
zfb,2025-04-05,617.85
gdi,2025-07-05,808.32
7bk,2025-08-29,862.32
d1o,2025-08-26,857.73
ryu,2025-04-06,120.11
c6p,2025-01-05,227.06
t4y,2025-07-30,671.93
mry,2025-09-27,151.91
abt,2025-06-30,5.56
ol0,2025-05-30,180.3
9k2,2025-09-11,785.88
uw7,2025-07-25,699.2
yi9,2025-02-19,383.61
o6j,2025-07-07,912.86
0wq,2025-04-17,685.94
bk7,2025-05-16,15.55
umt,2025-07-25,128.89
l9m,2025-08-10,228.85
w0y,2025-08-28,877.69
040,2025-05-10,992.98
j4v,2025-04-22,834.87
rju,2025-05-16,343.95
xjs,2025-07-21,319.92
k27,2025-06-19,980.27
zgy,2025-03-14,509.36
ke7,2025-02-26,222.33
t6h,2025-04-08,626.61
