Lp.,Państwo,Kontynent,Stolica,Powierzchnia (km²),Liczba ludności,Gęstość zaludnienia (os./km²)
1,Afganistan,Azja,Kabul,652230,30419928,4664
2,Albania,Europa,Tirana,28748,3195000,1111
3,Algieria,Afryka,Algier,2381741,34178188,1435
4,Andora,Europa,Andora,468,84525,1806
5,Angola,Afryka,Luanda,1246700,17312000,1389
6,Antigua i Barbuda,Ameryka Północna,Saint John’s,4353,85420,1962
7,Arabia Saudyjska,Azja,Rijad,2149690,28686633,1334
8,Argentyna,Ameryka Południowa,Buenos Aires,2766890,40913584,1479
9,Armenia,Azja,Erywań,29800,3259100,1094
10,Australia,Australia,Canberra,7686850,22343203,291
11,Austria,Europa,Wiedeń,83871,8402549,1002
12,Azerbejdżan,Azja,Baku,86600,9493600,1096
13,Bahamy,Ameryka Północna,Nassau,13940,307451,2206
14,Bahrajn,Azja,Manama,620,1323535,2135
15,Bangladesz,Azja,Dhaka,144000,162221000,1127
16,Barbados,Ameryka Północna,Bridgetown,431,281968,6542
17,Belgia,Europa,Bruksela,30528,10584534,3467
18,Belize,Ameryka Północna,Belmopan,22966,266440,116
19,Benin,Afryka,Porto-Novo,112620,8295000,7365
20,Bhutan,Azja,Thimphu,47000,682321,1452
21,Białoruś,Europa,Mińsk,207600,9474200,4564
22,Boliwia,Ameryka Południowa,"Sucre (stolica konstytucyjna), La Paz (siedziba rządu)",1098580,9248000,842
23,Bośnia i Hercegowina,Europa,Sarajewo,51129,4590310,8979
24,Botswana,Afryka,Gaborone,600370,1842000,307
25,Brazylia,Ameryka Południowa,Brasília,8511965,201103330,2363
26,Brunei,Azja,Bandar Seri Begawan,5770,381371,661
27,Bułgaria,Europa,Sofia,110910,7531000,679
28,Burkina Faso,Afryka,Wagadugu,274200,15746232,5743
29,Burundi,Afryka,"Bużumbura (siedziba władz), Gitega (de iure)",27830,8691000,3123
30,Chile,Ameryka Południowa/Oceania(Wyspa Wielkanocna),Santiago,756950,16601707,2193
31,Chiny,Azja,Pekin,9596960,1347374752,1404
32,Chorwacja,Europa,Zagrzeb,56542,4437460,7848
33,Cypr,Azja,Nikozja,9250,794600,859
34,Czad,Afryka,Ndżamena,1284000,10758945,838
35,Czarnogóra,Europa,Podgorica,13812,672180,4867
36,Czechy,Europa,Praga,78866,10532770,1336
37,Dania,Europa,Kopenhaga,"43098,31 (2210579 z Grenlandią i Wyspami Owczymi)",5540241,1285
38,Demokratyczna Republika Konga,Afryka,Kinszasa,2344858,66515000,2837
39,Dominika,Ameryka Północna,Roseau,754,72000,9549
40,Dominikana,Ameryka Północna,Santo Domingo,48730,9049595,1857
41,Dżibuti,Afryka,Dżibuti,23200,506221,2182
42,Egipt,Afryka/Azja,Kair,1001450,80471869,8036
43,Ekwador,Ameryka Południowa,Quito,283560,13928000,4912
44,Erytrea,Afryka,Asmara,121320,5028000,4144
45,Estonia,Europa,Tallinn,45226,1340122,2963
46,Eswatini,Afryka,Mbabane,17363,1138227,6555
47,Etiopia,Afryka,Addis Abeba,1127127,81238000,7208
48,Fidżi,Oceania,Suva,18272,849000,4646
49,Filipiny,Azja,Manila,300000,92681000,3089
50,Finlandia,Europa,Helsinki,338145,5313026,1571
51,Francja,Europa,Paryż,675417,66000000,9772
52,Gabon,Afryka,Libreville,267667,1454867,544
53,Gambia,Afryka,Bandżul,11295,1690000,1496
54,Ghana,Afryka,Akra,239460,23000000,9605
55,Grecja,Europa/Azja(Sporady Południowe),Ateny,131957,11216708,8500
56,Grenada,Ameryka Północna,Saint George’s,344,89258,2595
57,Gruzja,Azja,Tbilisi,69700,4630841,6644
58,Gujana,Ameryka Południowa,Georgetown,214970,769095,358
59,Gwatemala,Ameryka Północna,Gwatemala,108890,12013907,1103
60,Gwinea,Afryka,Konakry,245857,9950670,4047
61,Gwinea Bissau,Afryka,Bissau,36120,1475000,4084
62,Gwinea Równikowa,Afryka,Ciudad de La Paz,"28051,46",616459,2198
63,Haiti,Ameryka Północna,Port-au-Prince,27750,8925000,3216
64,Hiszpania,"Europa/Afryka (Wyspy Kanaryjskie, hiszpańskie enklawy w Maroku)",Madryt,504645,47150819,9343
65,Holandia,Europa,"Amsterdam (stolica konstytucyjna), Haga (stolica administracyjna)",41526,16509303,3976
66,Honduras,Ameryka Północna,Tegucigalpa,112090,7325000,6535
67,Indie,Azja,Nowe Delhi,3287590,1450935791,4413
68,Indonezja,Azja/Oceania (Irian Zachodni),Dżakarta,1919440,242968342,1266
69,Irak,Azja,Bagdad,438317,30399572,6936
70,Iran,Azja,Teheran,1648195,70495782,43
71,Irlandia,Europa,Dublin,70273,4581269,6519
72,Islandia,Europa,Reykjavík,103125,306694,297
73,Izrael,Azja,Jerozolima,22072,7653600,3468
74,Jamajka,Ameryka Północna,Kingston,10991,2700000,2457
75,Japonia,Azja/Oceania(Ogasawara),Tokio,377835,126475664,3347
76,Jemen,Azja/Afryka (Sokotra),Sana,527968,23495361,445
77,Jordania,Azja,Amman,92300,5759732,624
78,Kambodża,Azja,Phnom Penh,181040,13388910,7396
79,Kamerun,Afryka,Jaunde,475440,18100000,3807
80,Kanada,Ameryka Północna,Ottawa,9984670,38721000,388
81,Katar,Azja,Doha,11437,928635,812
82,Kazachstan,Azja/Europa,Astana,2717300,15399437,567
83,Kenia,Afryka,Nairobi,582650,37953840,6514
84,Kirgistan,Azja,Biszkek,198500,5357000,2699
85,Kiribati,Oceania,Bairiki,811,103092,1271
86,Kolumbia,Ameryka Południowa,Bogota,1139825,45730834,4012
87,Komory,Afryka,Moroni,2170,671247,3093
88,Kongo,Afryka,Brazzaville,342000,3756000,1098
89,Korea Południowa,Azja,Seul,99720,50062000,502
90,Korea Północna,Azja,Pjongjang,120540,22757275,1888
91,Kostaryka,Ameryka Północna,San José,51100,4325000,8464
92,Kuba,Ameryka Północna,Hawana,110860,11424000,103
93,Kuwejt,Azja,Kuwejt,17818,2597000,1458
94,Laos,Azja,Wientian,236800,6521998,2754
95,Lesotho,Afryka,Maseru,30355,2031348,6692
96,Liban,Azja,Bejrut,10452,3925502,3756
97,Liberia,Afryka,Monrovia,111370,3200000,2873
98,Libia,Afryka,Trypolis,1759540,6310434,359
99,Liechtenstein,Europa,Vaduz,160,34761,2173
100,Litwa,Europa,Wilno,65200,3225346,4947
101,Luksemburg,Europa,Luksemburg,2586,474413,18345
102,Łotwa,Europa,Ryga,64589,2224400,3444
103,Macedonia Północna,Europa,Skopje,25713,2061000,8015
104,Madagaskar,Afryka,Antananarywa,587040,20653556,3518
105,Malawi,Afryka,Lilongwe,118480,13600000,1148
106,Malediwy,Azja,Male,300,396334,1321
107,Malezja,Azja,Kuala Lumpur,329750,27730000,8409
108,Mali,Afryka,Bamako,1240192,12666987,1021
109,Malta,Europa,Valletta,316,403532,1277
110,Maroko,Afryka,Rabat,446550,34859364,7806
111,Mauretania,Afryka,Nawakszut,1030700,3250000,315
112,Mauritius,Afryka,Port Louis,2045,1230602,6018
113,Meksyk,Ameryka Północna,Meksyk,1972550,112336538,5695
114,Mikronezja,Oceania,Palikir,702,135000,1923
115,Mjanma,Azja,Naypyidaw,678500,53414374,7872
116,Mołdawia,Europa,Kiszyniów,33843,4324450,1278
117,Monako,Europa,Monako,195,32796,16 818
118,Mongolia,Azja,Ułan Bator,1564116,2736800,175
119,Mozambik,Afryka,Maputo,801590,21000000,262
120,Namibia,Afryka,Windhuk,825418,2089000,253
121,Nauru,Oceania,Yaren,213,14019,6582
122,Nepal,Azja,Katmandu,140800,28635000,2034
123,Niemcy,Europa,Berlin,"357114,22",81772000,207
124,Niger,Afryka,Niamey,1267000,15306252,1208
125,Nigeria,Afryka,Abudża,923768,154729000,1675
126,Nikaragua,Ameryka Północna,Managua,129494,5570000,4301
127,Norwegia,Europa,Oslo,324220,4769000,1471
128,Nowa Zelandia,Oceania,Wellington,268680,4393500,1635
129,Oman,Azja,Maskat,309500,3312000,107
130,Pakistan,Azja,Islamabad,803940,176242949,2192
131,Palau,Oceania,Ngerulmud,508,20800,4094
132,Panama,Ameryka Północna,Panama,78200,3293000,4211
133,Papua-Nowa Gwinea,Oceania,Port Moresby,462840,5932000,1282
134,Paragwaj,Ameryka Południowa,Asunción,406750,6670000,164
135,Peru,Ameryka Południowa,Lima,1285220,29181000,2271
136,Polska,Europa,Warszawa,312696,38200037,12216
137,Południowa Afryka,Afryka,Pretoria (stolica egzekutywna),1219912,48783000,40
138,Portugalia,"Europa/Afryka (Madera, Azory)",Lizbona,92391,10677000,1156
139,Republika Środkowoafrykańska,Afryka,Bangi,622984,4370000,701
140,Republika Zielonego Przylądka,Afryka,Praia,4033,499796,1239
141,Rosja,Azja/Europa,Moskwa,17075400,142914136,837
142,Rumunia,Europa,Bukareszt,238391,22215421,9319
143,Rwanda,Afryka,Kigali,26338,10186000,3867
144,Saint Kitts i Nevis,Ameryka Północna,Basseterre,261,38819,1487
145,Saint Lucia,Ameryka Północna,Castries,616,164213,2666
146,Saint Vincent i Grenadyny,Ameryka Północna,Kingstown,389,119000,3059
147,Salwador,Ameryka Północna,San Salvador,21040,6820000,3241
148,Samoa,Oceania,Apia,2944,177714,6036
149,San Marino,Europa,San Marino,616,31817,5165
150,Senegal,Afryka,Dakar,196190,12521851,6383
151,Serbia,Europa,Belgrad,77474,7498001,9678
152,Seszele,Afryka,Victoria,455,86525,1902
153,Sierra Leone,Afryka,Freetown,71740,6150000,8573
154,Singapur,Azja,Singapur,6927,4608000,6652
155,Słowacja,Europa,Bratysława,49035,5455000,1112
156,Słowenia,Europa,Lublana,20273,2039399,1006
157,Somalia,Afryka,Mogadiszu,637700,9559000,1499
158,Sri Lanka,Azja,Sri Dźajawardanapura Kotte,65610,20010000,305
159,Stany Zjednoczone,Ameryka Północna/Oceania (Hawaje),Waszyngton,9373967,311280492,3321
160,Sudan,Afryka,Chartum,1886068,30894000,1638
161,Sudan Południowy,Afryka,Dżuba,589745,8260490 (kwestionowana),1401
162,Surinam,Ameryka Południowa,Paramaribo,163270,476000,292
163,Syria,Azja,Damaszek,185180,19748000,1066
164,Szwajcaria,Europa,"brak oficjalnej stolicy, siedzibą rządu jest Berno",41290,7725200,1871
165,Szwecja,Europa,Sztokholm,449964,9331523,2074
166,Tadżykistan,Azja,Duszanbe,143100,7100000,4962
167,Tajlandia,Azja,Bangkok,514000,65493000,1274
168,Tanzania,Afryka,Dodoma,945087,39384223,4167
169,Timor Wschodni,Azja,Dili,15007,1109000,739
170,Togo,Afryka,Lomé,56785,5400000,951
171,Tonga,Oceania,Nukuʻalofa,748,119009,1591
172,Trynidad i Tobago,Ameryka Południowa,Port-of-Spain,5128,1229000,2397
173,Tunezja,Afryka,Tunis,163610,10384000,6347
174,Turcja,Azja/Europa,Ankara,783562,77804122,993
175,Turkmenistan,Azja,Aszchabad,488100,5180000,1061
176,Tuvalu,Oceania,Vaiaku,26,12373,4759
177,Uganda,Afryka,Kampala,236036,32369558,1371
178,Ukraina,Europa,Kijów,603700,45706126,7571
179,Urugwaj,Ameryka Południowa,Montevideo,176220,3477779 (2008),1974
180,Uzbekistan,Azja,Taszkent,447400,27610000,6171
181,Vanuatu,Oceania,Port Vila,12189,243304,1996
182,Watykan,Europa,Watykan,044,824,1873
183,Wenezuela,Ameryka Południowa,Caracas,916445,30102382,3285
184,Węgry,Europa,Budapeszt,93030,9982000,1073
185,Wielka Brytania,Europa,Londyn,244820,62222000,2542
186,Wietnam,Azja,Hanoi,"331051,4",86024600,"259,9"
187,Włochy,Europa/Afryka(Wyspy Pelagijskie),Rzym,301230,60418711,2006
188,Wybrzeże Kości Słoniowej,Afryka,Jamusukro,322460,18373000,5598
189,Wyspy Marshalla,Oceania,Majuro,181,59071,3264
190,Wyspy Salomona,Oceania,Honiara,28450,552000,194
191,Wyspy Świętego Tomasza i Książęca,Afryka,São Tomé,1001,193410,1932
192,Zambia,Afryka,Lusaka,752614,11500000,1528
193,Zimbabwe,Afryka,Harare,390580,12383000,317
194,Zjednoczone Emiraty Arabskie,Azja,Abu Zabi,83600,4621000,5528
