przystanek,dzien,czas odjazdu
LEŚNICA,w dni robocze,04:20
LEŚNICA,w dni robocze,05:15
LEŚNICA,w dni robocze,05:45
LEŚNICA,w dni robocze,06:15
LEŚNICA,w dni robocze,06:45
LEŚNICA,w dni robocze,07:15
LEŚNICA,w dni robocze,07:45
LEŚNICA,w dni robocze,08:15
LEŚNICA,w dni robocze,08:45
LEŚNICA,w dni robocze,09:15
LEŚNICA,w dni robocze,09:45
LEŚNICA,w dni robocze,10:15
LEŚNICA,w dni robocze,10:45
LEŚNICA,w dni robocze,11:15
LEŚNICA,w dni robocze,11:45
LEŚNICA,w dni robocze,12:15
LEŚNICA,w dni robocze,12:45
LEŚNICA,w dni robocze,13:15
LEŚNICA,w dni robocze,13:45
LEŚNICA,w dni robocze,14:15
LEŚNICA,w dni robocze,14:45
LEŚNICA,w dni robocze,15:15
LEŚNICA,w dni robocze,15:45
LEŚNICA,w dni robocze,16:15
LEŚNICA,w dni robocze,16:45
LEŚNICA,w dni robocze,17:15
LEŚNICA,w dni robocze,17:45
LEŚNICA,w dni robocze,18:15
LEŚNICA,w dni robocze,18:45
LEŚNICA,w dni robocze,19:15
LEŚNICA,w dni robocze,19:45
LEŚNICA,w dni robocze,20:45
LEŚNICA,w dni robocze,21:30
LEŚNICA,w dni robocze,22:30
LEŚNICA,w dni wolne,05:45
LEŚNICA,w dni wolne,06:42
LEŚNICA,w dni wolne,07:42
LEŚNICA,w dni wolne,08:42
LEŚNICA,w dni wolne,09:42
LEŚNICA,w dni wolne,10:42
LEŚNICA,w dni wolne,11:42
LEŚNICA,w dni wolne,12:42
LEŚNICA,w dni wolne,13:42
LEŚNICA,w dni wolne,14:42
LEŚNICA,w dni wolne,15:42
LEŚNICA,w dni wolne,16:42
LEŚNICA,w dni wolne,17:42
LEŚNICA,w dni wolne,18:42
LEŚNICA,w dni wolne,19:42
LEŚNICA,w dni wolne,20:30
LEŚNICA,w dni wolne,21:30
LEŚNICA,w dni wolne,22:30
LEŚNICA,w dniu 1.XI.2016r.,05:45
LEŚNICA,w dniu 1.XI.2016r.,06:42
LEŚNICA,w dniu 1.XI.2016r.,07:42
LEŚNICA,w dniu 1.XI.2016r.,08:42
LEŚNICA,w dniu 1.XI.2016r.,09:12
LEŚNICA,w dniu 1.XI.2016r.,09:27
LEŚNICA,w dniu 1.XI.2016r.,09:42
LEŚNICA,w dniu 1.XI.2016r.,09:57
LEŚNICA,w dniu 1.XI.2016r.,10:12
LEŚNICA,w dniu 1.XI.2016r.,10:27
LEŚNICA,w dniu 1.XI.2016r.,10:42
LEŚNICA,w dniu 1.XI.2016r.,10:57
LEŚNICA,w dniu 1.XI.2016r.,11:12
LEŚNICA,w dniu 1.XI.2016r.,11:27
