Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
China,2019.0,Phishing,Education,80.53,773169.0,Hacker Group,Unpatched Software,VPN,63.0
China,2019.0,Ransomware,Retail,62.19,295961.0,Hacker Group,Unpatched Software,Firewall,71.0
India,2017.0,Man-in-the-Middle,IT,38.65,605895.0,Hacker Group,Weak Passwords,VPN,20.0
UK,2024.0,Ransomware,Telecommunications,41.44,659320.0,Nation-state,,AI-based Detection,7.0
Germany,2018.0,Man-in-the-Middle,IT,74.41,810682.0,Insider,Social Engineering,VPN,68.0
Germany,2017.0,Man-in-the-Middle,Retail,98.24,285201.0,Unknown,Social Engineering,Antivirus,25.0
Germany,2016.0,DDoS,Telecommunications,33.26,431262.0,Insider,Unpatched Software,VPN,34.0
France,2018.0,SQL Injection,Government,59.23,909991.0,Unknown,Social Engineering,Antivirus,66.0
India,2016.0,Man-in-the-Middle,Banking,16.88,698249.0,Unknown,Social Engineering,VPN,47.0
UK,2023.0,DDoS,Healthcare,69.14,685927.0,Hacker Group,Unpatched Software,Firewall,58.0
China,2019.0,Phishing,Telecommunications,88.67,493675.0,Unknown,Zero-day,VPN,29.0
China,2016.0,SQL Injection,Healthcare,38.81,920768.0,,Unpatched Software,AI-based Detection,27.0
India,2019.0,Ransomware,Education,30.56,583204.0,Insider,Zero-day,Firewall,37.0
France,2023.0,DDoS,Healthcare,58.37,599797.0,Nation-state,Unpatched Software,AI-based Detection,35.0
France,2024.0,DDoS,,48.01,922258.0,Unknown,Social Engineering,Encryption,64.0
Australia,2022.0,Phishing,Banking,64.31,120789.0,Nation-state,Zero-day,Encryption,36.0
Russia,2017.0,Man-in-the-Middle,Healthcare,13.04,850158.0,Hacker Group,Unpatched Software,AI-based Detection,67.0
India,2015.0,DDoS,IT,93.14,805278.0,Insider,Social Engineering,Encryption,56.0
UK,2019.0,Malware,Telecommunications,14.01,578443.0,Insider,Social Engineering,Firewall,28.0
India,2016.0,DDoS,IT,36.45,261808.0,Nation-state,Social Engineering,AI-based Detection,6.0
Brazil,2015.0,Ransomware,Retail,49.55,920172.0,Hacker Group,,Antivirus,43.0
France,2023.0,Ransomware,Education,17.72,261661.0,Insider,Social Engineering,VPN,11.0
India,2017.0,DDoS,Government,76.71,,Nation-state,Unpatched Software,Firewall,30.0
Japan,2022.0,Phishing,Telecommunications,20.42,186148.0,Nation-state,,Antivirus,32.0
Brazil,2023.0,DDoS,Telecommunications,51.84,699007.0,Hacker Group,Social Engineering,VPN,30.0
China,2021.0,Phishing,Retail,51.06,628562.0,Insider,Zero-day,AI-based Detection,52.0
Japan,2022.0,Malware,Education,53.04,570494.0,Nation-state,Unpatched Software,VPN,53.0
Japan,2022.0,Ransomware,Banking,26.17,937653.0,Insider,Unpatched Software,Encryption,24.0
France,2020.0,Malware,,87.32,599757.0,Unknown,Social Engineering,Antivirus,
Australia,2015.0,DDoS,Government,82.7,904805.0,Hacker Group,Zero-day,Encryption,61.0
UK,2022.0,SQL Injection,Education,66.24,678876.0,Hacker Group,Social Engineering,AI-based Detection,11.0
France,2020.0,Malware,Telecommunications,18.38,246900.0,,Zero-day,AI-based Detection,34.0
India,2015.0,,IT,42.99,85255.0,Unknown,,Encryption,61.0
Japan,2022.0,Phishing,Banking,98.47,972469.0,Nation-state,Zero-day,Antivirus,21.0
Brazil,2023.0,Phishing,Healthcare,14.51,,Nation-state,Weak Passwords,VPN,27.0
Brazil,2020.0,Phishing,Banking,17.75,739540.0,Hacker Group,Zero-day,Encryption,31.0
China,2020.0,Man-in-the-Middle,Education,19.81,722788.0,Nation-state,Zero-day,Firewall,70.0
,2021.0,SQL Injection,Retail,82.52,214372.0,Insider,Unpatched Software,Encryption,12.0
USA,2022.0,DDoS,Retail,32.53,235314.0,Insider,Weak Passwords,AI-based Detection,62.0
Brazil,2016.0,DDoS,Education,,140812.0,Nation-state,Unpatched Software,VPN,71.0
Russia,2015.0,DDoS,Telecommunications,96.39,238356.0,Unknown,Zero-day,AI-based Detection,3.0
India,2021.0,SQL Injection,IT,98.09,826976.0,Nation-state,Zero-day,VPN,57.0
UK,2019.0,Man-in-the-Middle,Retail,,757694.0,Nation-state,Unpatched Software,Encryption,69.0
USA,,DDoS,IT,74.12,403108.0,,Zero-day,VPN,64.0
Australia,,DDoS,Banking,92.95,942890.0,Insider,Weak Passwords,Antivirus,19.0
France,2022.0,Malware,Healthcare,20.33,,Unknown,Weak Passwords,AI-based Detection,36.0
Australia,2016.0,SQL Injection,Government,,481293.0,Hacker Group,Unpatched Software,Antivirus,65.0
India,2016.0,DDoS,Education,21.01,602692.0,Hacker Group,Unpatched Software,VPN,29.0
UK,2018.0,Man-in-the-Middle,Retail,13.66,455529.0,Hacker Group,Zero-day,Firewall,40.0
Japan,2017.0,Phishing,Telecommunications,75.84,383395.0,Hacker Group,Zero-day,VPN,31.0
USA,2023.0,DDoS,Retail,59.69,113612.0,Hacker Group,Zero-day,VPN,70.0
Australia,2019.0,Malware,Government,21.72,984411.0,Insider,Unpatched Software,Antivirus,17.0
UK,2015.0,Phishing,IT,85.58,,,Weak Passwords,AI-based Detection,30.0
,2018.0,Phishing,Healthcare,75.11,581303.0,Insider,Social Engineering,Encryption,51.0
India,2019.0,Man-in-the-Middle,Education,10.8,799474.0,Nation-state,Zero-day,AI-based Detection,23.0
India,2020.0,DDoS,Banking,86.27,898655.0,Nation-state,Unpatched Software,AI-based Detection,10.0
UK,2021.0,Malware,Healthcare,67.1,698852.0,Unknown,Weak Passwords,Antivirus,57.0
India,2018.0,DDoS,Healthcare,76.43,304162.0,Hacker Group,Unpatched Software,Firewall,56.0
Brazil,2015.0,Phishing,Banking,43.4,191625.0,Hacker Group,Social Engineering,VPN,65.0
Australia,2024.0,Phishing,Education,93.32,93185.0,Unknown,Unpatched Software,VPN,14.0
India,2019.0,Phishing,Healthcare,35.6,40718.0,Nation-state,Zero-day,VPN,24.0
